,store_name,address
0,CHELSEA New York 札幌苗穂店,北海道札幌市東区東苗穂２条3-1-1 イオンモール札幌苗穂 1F
1,CHELSEA New York カテプリ新さっぽろ店,北海道札幌市厚別区厚別中央２条５丁目７番　カテプリ 1F
2,CHELSEA New York 釧路昭和店,北海道釧路市昭和中央4-18-1 イオンモール釧路昭和1F
3,CHELSEA New York 盛岡南店,岩手県盛岡市本宮字稲荷10-1 イオンモール盛岡南 1F
4,CHELSEA New York 石巻店,宮城県石巻市茜平四丁目104番地 イオンモール石巻 1F
5,CHELSEA New York 名取店,宮城県名取市杜せきのした5丁目3-1 イオンモール名取 2F
6,CHELSEA New York 天童店,山形県天童市芳賀タウン北4丁目1-1 イオンモール天童 1F
7,CHELSEA New York いわき小名浜店,福島県いわき市小名浜字辰巳町79番地 イオンモールいわき小名浜 2F
8,CHELSEA New York 下妻店,茨城県下妻市堀篭972-1 イオンモール下妻 1F
9,CHELSEA New York 守谷店,茨城県守谷市百合ケ丘3-249-1　イオンタウン守谷 1F
10,CHELSEA New York 八千代緑が丘店,千葉県八千代市緑が丘2丁目1番3 イオンモール八千代緑が丘店 2F
11,CHELSEA New York 浦和美園店,埼玉県さいたま市緑区美園5丁目50番地1 イオンモール浦和美園 2F
12,CHELSEA New York 春日部店,埼玉県春日部市下柳420-1 イオンモール春日部 2F
13,CHELSEA New York レイクタウン店,埼玉県越谷市レイクタウン3丁目1-1 イオンレイクタウンmori 3F
14,CHELSEA New York 幕張新都心店,千葉県千葉市美浜区豊砂1-1 イオンモール幕張新都心ファミリーモール 1F
15,CHELSEA New York アリオ蘇我店,千葉県千葉市中央区川崎町52-7　アリオ蘇我 1F
16,CHELSEA New York 銚子店,千葉県銚子市三崎町2丁目2660-1 イオンモール銚子 1F
17,CHELSEA New York 木更津店,千葉県木更津市築地1-4 イオンモール木更津 2F
18,CHELSEA New York 成田店,千葉県成田市ウイング土屋24 イオンモール成田 2F
19,CHELSEA New York ユーカリが丘店,千葉県佐倉市西ユーカリが丘6-12-3 イオンタウンユーカリが丘 東街区 2F
20,CHELSEA New York ユニモちはら台店,千葉県市原市ちはら台西3-4　ユニモちはら台 1F
21,CHELSEA New York 東久留米店,東京都東久留米市南沢5-17 イオンモール東久留米 2F
22,CHELSEA New York アリオ橋本店,神奈川県相模原市緑区大山町1番22号　アリオ橋本 1F
23,CHELSEA New York 新発田店,新潟県新発田市住吉町5-11-5 イオンモール新発田 1F
24,CHELSEA New York 高岡店,富山県高岡市下伏間江383 西館2F
25,CHELSEA New York 甲府昭和店,山梨県中巨摩郡昭和町常永土地区画 イオンモール甲府昭和 2F
26,CHELSEA New York 富士南店,静岡県富士市鮫島118-10 イオンタウン富士南 1F
27,CHELSEA New York 名古屋茶屋店,愛知県名古屋市港区西茶屋2-11 イオンモール名古屋茶屋 2F
28,CHELSEA New York 長久手店,愛知県長久手市長久手中央土地区画整理事業地内 イオンモール長久手 2F
29,CHELSEA New York 扶桑店,愛知県丹羽郡扶桑町大字南山名高塚5-1 イオンモール扶桑 1F
30,CHELSEA New York 東浦店,愛知県知多郡東浦町大字緒川字旭13-2 イオンモール東浦 2F
31,CHELSEA New York 津南店,三重県津市高茶屋小森町145番地 イオンモール津南店 2F
32,CHELSEA New York 四日市泊店,三重県四日市市泊小柳町4番5号 1F
33,CHELSEA New York 東員店,三重県員弁郡東員町長深字築田510-1 イオンモール東員 2F
34,CHELSEA New York 明和店,三重県多気郡明和町中村1223 イオンモール明和 1F
35,CHELSEA New York KYOTO店,京都府京都市南区西九条鳥居口町1 イオンモールKYOTO 2F
36,CHELSEA New York 久御山店,京都府久世郡久御山町森南大内156-1 イオンモール久御山 1F
37,CHELSEA New York 鳳店,大阪府堺市西区鳳南町3-199-12　アリオ鳳 2F
38,CHELSEA New York 姫路店,兵庫県姫路市飾磨区細江2560 イオンモール姫路リバーシティ 2F
39,CHELSEA New York 伊丹昆陽店,兵庫県伊丹市池尻4-1-1 イオンモール伊丹昆陽 1F
40,CHELSEA New York 加西北条店,兵庫県加西市北条町北条308-1 イオンモール加西北条 1F
41,CHELSEA New York 出雲店,島根県出雲市渡橋町1066 イオンモール出雲 1F
42,CHELSEA New York 倉敷店,岡山県倉敷市寿町 12-2　アリオ倉敷 1F
43,CHELSEA New York イオンモール倉敷店,岡山県倉敷市水江1 イオンモール倉敷 2F
44,CHELSEA New York 津山店,岡山県津山市河辺1000-1 イオンモール津山 1F
45,CHELSEA New York 広島店,広島県広島市南区皆実町2-8-17　ゆめタウン広島 2F
46,CHELSEA New York 広島祇園店,広島県広島市安佐南区祇園3-2-1 イオンモール広島祇園 3F
47,CHELSEA New York 廿日市店,広島県廿日市市下平良2丁目2-1 ゆめタウン廿日市 3F
48,CHELSEA New York 下関店,山口県下関市伊倉新町3-1-1　ゆめシティ 2F
49,CHELSEA New York 山口店,山口県山口市大内御堀1302-1　ゆめタウン山口 2F
50,CHELSEA New York ゆめタウン徳島店,徳島県板野郡藍住町奥野字東中須88-1　ゆめタウン徳島 2F
51,CHELSEA New York 高松店,香川県高松市香西本町1-1 イオンモール高松 1F
52,CHELSEA New York 綾川店,香川県綾歌郡綾川町萱原822-1 イオンモール綾川 2F
53,CHELSEA New York 今治店,愛媛県今治市にぎわい広場1-1 イオンモール今治新都市 1F
54,CHELSEA New York 八幡東店,福岡県北九州市八幡東区東田3-2-102 イオンモール八幡東 1F
55,CHELSEA New York 大牟田店,福岡県大牟田市岬町3-4 イオンモール大牟田 1F
56,CHELSEA New York ゆめタウン久留米店,福岡県久留米市新合川1-2-1　ゆめタウン久留米 1F
57,CHELSEA New York 福津店,福岡県福津市日蒔野6丁目16-1 イオンモール福津 1F
58,CHELSEA New York イオンモール宇城店,熊本県宇城市小川町河江1-1　イオンモール宇城 1F
59,CHELSEA New York 熊本店,熊本県上益城郡嘉島町大字上島字長池2232 イオンモール熊本 ウエストスクエア1F
60,CHELSEA New York 宮崎店,宮崎県宮崎市新別府町江口862-1 イオンモール宮崎 2F
61,CHELSEA New York 鹿児島店,鹿児島県鹿児島市東開町7 イオンモール鹿児島 1F
62,CHELSEA New York 姶良店,鹿児島県姶良市東餅田336　イオンタウン姶良 2F
63,CHELSEA New York 沖縄PARCO CITY店,沖縄県浦添市西洲3丁目1-1 サンエー浦添西海岸PARCO CITY 2F
