,store_name,address
0,げんき堂整骨院／げんき堂鍼灸院　イオンモール旭川駅前,北海道旭川市宮下通7丁目2番5号イオンモール旭川駅前4階
1,げんき堂整骨院 イオンモール札幌苗穂／GENKI Plus イオンモール札幌苗穂,北海道札幌市東区東苗穂2条3丁目1-1イオンモール札幌苗穂2階
2,げんき堂整骨院／げんき堂鍼灸院　イオンモール盛岡南,岩手県盛岡市本宮7丁目1-1 イオンモール盛岡南　２Ｆ
3,げんき堂整骨院／げんき堂鍼灸院　イオンタウン仙台富沢,宮城県仙台市太白区大野田5丁目30-6　イオンタウン仙台富沢
4,げんき堂整骨院／げんき堂鍼灸院　イオンモール秋田,秋田県秋田市御所野地蔵田1-1-1　イオンモール秋田1F
5,げんき堂整骨院／げんき堂鍼灸院　ドン・キホーテ秋田／GENKIPlus秋田,秋田県秋田市旭北錦町4-58 ドン・キホーテ秋田店１Ｆ
6,げんき堂整骨院／げんき堂鍼灸院　イオンモール佐野新都市,栃木県佐野市高萩町1324-1　イオンモール佐野新都市店 2F
7,げんき堂整骨院／げんき堂鍼灸院　藤岡,群馬県藤岡市上栗須132-3 鈴木ビル101号室
8,げんき堂整骨院／げんき堂鍼灸院　イオンモール高崎,群馬県高崎市棟高町1400 イオンモール高崎2F
9,げんき堂整骨院／げんき堂鍼灸院　イオン栃木はこのもり,栃木県栃木市箱森町37-9 イオン栃木店１F
10,群馬クレインサンダーズスポーツ鍼灸整骨院上泉町 ／ GENKI Plusコンディショニング上泉町,群馬県伊勢崎市上泉町157-1
11,げんき堂整骨院／げんき堂鍼灸院　ウニクス高崎,群馬県高崎市飯塚町1150-5 ウニクス高崎１F
12,げんき堂整骨院／げんき堂鍼灸院　スマーク伊勢崎,群馬県伊勢崎市西小保方町368 スマーク伊勢崎2F
13,げんき堂整骨院／げんき堂鍼灸院　けやきウォーク前橋,群馬県前橋市文京町2-1-1 けやきウォーク前橋１F
14,げんき堂幸和整骨院／鍼灸SPA健美田中島店,群馬県伊勢崎市田中島町1400-8
15,げんき堂整骨院／げんき堂鍼灸院　アイム大胡,群馬県前橋市大胡町399 アイム大胡店内
16,げんき堂整骨院／げんき堂鍼灸院　ニコ・モール新田,群馬県太田市新田市野井町592-13　新田ショッピングセンターニコ・モール1F
17,げんき堂整骨院喜多町／GENKIPlus喜多町,群馬県伊勢崎市喜多町54-1
18,げんき堂整骨院　ヤオコー前橋関根,群馬県前橋市関根町1丁目2番地３６ヤオコー前橋関根店　1階
19,げんき堂整骨院／げんき堂鍼灸院　アゼリアモール館林／GENKIPlus館林,群馬県館林市楠町3648-1アゼリアモール館林 2F
20,GENKI Plus Premium グランクラブ高崎,群馬県高崎市上大類910-4(グランクラブ高崎内2F)
21,群馬クレインサンダーズ　ビューティー＆コンディショニングジム喜多町,群馬県伊勢崎市喜多町54-1
22,げんき堂整骨院／げんき堂鍼灸院　イトーヨーカドー三郷,埼玉県三郷市ピアラシティ1丁目1-1イトーヨーカドー三郷店1F
23,げんき堂整骨院／げんき堂鍼灸院　南浦和,埼玉県さいたま市南区南本町1-7-4 まるひろ南浦和店2F
24,げんき堂整骨院／げんき堂鍼灸院　イオンモール羽生,埼玉県羽生市川崎2-281-3 イオンモール羽生1F
25,げんき堂整骨院／げんき堂鍼灸院　アリオ深谷／GENKIPlus深谷,埼玉県深谷市上柴町西4-2-14アリオ深谷　1Ｆ
26,群馬クレインサンダーズコンディショニングジム上泉町 ／ GENKI Plusコンディショニング上泉町,群馬県伊勢崎市上泉町１５７−５
27,げんき堂整骨院／げんき堂鍼灸院　イオン大井,埼玉県ふじみ野市ふじみ野1-2-1 イオン大井
28,GENKIPlus 上野,東京都台東区上野6-9-22-坂井ビル1F
29,げんき堂整骨院／げんき堂鍼灸院　mina津田沼,千葉県習志野市津田沼1-3-1 mina 津田沼2F
30,げんき堂整骨院／げんき堂鍼灸院　御徒町,東京都台東区上野3-22-8
31,げんき堂整骨院／げんき堂鍼灸院　秋葉原,東京都千代田区神田和泉町1-3-13
32,げんき堂整骨院／げんき堂鍼灸院　上板橋,　東京都板橋区上板橋2-2-17
33,げんき堂整骨院／げんき堂鍼灸院 アルカキット錦糸町,東京都墨田区錦糸2-2-1 アルカキット錦糸町9F
34,げんき堂整骨院　南大塚,東京都豊島区南大塚2-41-4
35,げんき堂整骨院 奥浅草,東京都台東区浅草５丁目２１−１
36,GENKIPlus イオンスタイル東神奈川,神奈川県横浜市神奈川区富屋町1 イオンスタイル東神奈川4階
37,げんき堂整骨院／げんき堂鍼灸院　イトーヨーカドー鶴見／GENKIPlus鶴見,神奈川県横浜市鶴見区鶴見中央3-15-30 イトーヨーカドー1F
38,げんき堂整骨院／げんき堂鍼灸院　 アル・プラザベル福井,福井県福井市花堂南2-16-1 平和堂 アルプラザ ベル店2F
39,げんき堂整骨院／げんき堂鍼灸院　ららぽーと海老名,神奈川県海老名市扇町13-1　ららぽーと海老名3F
40,げんき堂整骨院／げんき堂鍼灸院　イオン新潟西,新潟県新潟市西区小新南2-1-10　イオン新潟西３階
41,げんき堂整骨院／げんき堂鍼灸院　プレ葉ウォーク浜北,静岡県浜松市浜北区貴布祢1200番地　プレ葉ウォーク浜北２Ｆ
42,GENKI Plus Athlete,石川県野々市市稲荷一丁目73
43,げんき堂整骨院　イオン新潟東,新潟県新潟市東区大形本町3-1-2 イオン新潟東店3F
44,げんき堂整骨院／げんき堂鍼灸院　イオンタウン長野三輪,長野県長野市三輪九丁目43-24 イオンタウン長野三輪　2階
45,げんき堂整骨院／げんき堂鍼灸院　イトーヨーカドー藤沢,神奈川県藤沢市鵠沼石上1-10-1 イトーヨーカドー藤沢店6F
46,げんき堂整骨院／げんき堂鍼灸院　 イオンタウン金沢示野,石川県金沢市戸板西1丁目55番地 イオン金沢示野SC マックスバリュ棟内
47,げんき堂整骨院　ウイングタウン岡崎,愛知県岡崎市羽根町字小豆坂3 番地 ウィングタウン１F
48,げんき堂整骨院　マックスバリュ砂田橋,愛知県名古屋市東区砂田橋1-1-10 MAX バリュー砂田橋SC １F
49,げんき堂整骨院　イオンタウン千種,愛知県名古屋市千種区千種2-16-13 イオン千種SC2F
50,小牧坂口鍼灸整骨院,愛知県小牧市東１丁目１２６　イオン小牧店2階
51,げんき堂鍼灸整骨院　イオンモール鈴鹿,三重県鈴鹿市庄野羽山4-1-2 ベルシティＷＥＳＴ館鈴鹿店 2F
52,げんき堂整骨院　イオンモール新瑞橋,愛知県名古屋市南区菊住1-7-10 イオンモール新瑞橋2F
53,げんき堂整骨院　イオンモール熱田／GENKIPlus熱田,愛知県名古屋市熱田区六野1-2-11 イオン熱田SC ４F
54,げんき堂整骨院／げんき堂鍼灸院　 アルプラザ城陽,京都府城陽市富野荒見田112 アルプラザ城陽 4F
55,垂水坂口鍼灸整骨院・整体院,兵庫県神戸市垂水区舞多聞西6丁目1番地
56,姫路坂口鍼灸整骨院・整体院,兵庫県姫路市花田町上原田189-1
57,末広坂口鍼灸整骨院・整体院,徳島県徳島市末広1丁目4-30
58,明石坂口鍼灸整骨院・整体院,兵庫県明石市二見町西二見駅前１丁目１８
59,鴨島坂口鍼灸整骨院・整体院,徳島県吉野川市鴨島町牛島139番地3マルナカパワーシティー鴨島
60,鳴門坂口鍼灸整骨院・整体院,徳島県鳴門市撫養町大桑島濘岩浜４−１パワー シティ鳴門内
61,北島坂口鍼灸整骨院・整体院,徳島県板野郡北島町高房字川ノ上2-1　イオンタウン北島
62,丸亀坂口鍼灸整骨院・整体院,香川県丸亀市新浜町1丁目803-2 マルナカパワーシティ丸亀内
63,げんき堂整骨院　イオン福岡東,福岡県糟屋郡志免町別府北2-14-1　イオン福岡東店2階
64,小松島坂口鍼灸整骨院・整体院,徳島県小松島市日開野町字破開道35-1
65,宇多津坂口鍼灸整骨院・整体院,香川県綾歌郡宇多津町浜五番丁47-14
66,げんき堂整骨院　大橋,福岡県福岡市南区大橋1-5-1大橋西鉄名店街B1
67,阿南坂口鍼灸整骨院・整体院,徳島県阿南市領家町天神前４３２−１ ザ・ビッグエクストラ阿南店
