,store_name,address
0,ORBENE イオンモール札幌発寒　オルベネ,北海道札幌市西区発寒八条12-1　イオンモール札幌発寒　1F
1,ORBENE イオンモール札幌平岡　オルベネ,北海道札幌市清田区平岡三条5-3-1　イオンモール札幌平岡　1F
2,ORBENE イオンモール旭川西　オルベネ,北海道旭川市緑町23-2161-3　イオンモール旭川西　1F
3,ORBENE イオンモール大曲　オルベネ,秋田県大仙市和合字坪立177　イオンモール大曲　1F
4,ORBENE イオンモール山形南　オルベネ,山形県山形市若宮3-7-8　イオンモール山形南　1F
5,ORBENE イオンモール三川　オルベネ,山形県東田川郡三川町大字猪子字和田庫128-1　イオンモール三川　1F
6,ORBENE イオンモール土浦　オルベネ,茨城県土浦市上高津367　イオンモール土浦　1F
7,ORBENE イオンモールつくば　オルベネ,茨城県つくば市稲岡66-1　イオンモールつくば　2F
8,ORBENE スマーク伊勢崎　オルベネ,群馬県伊勢崎市西小保方町368　スマーク伊勢崎　1F
9,ORBENE イオンモール北戸田　オルベネ,埼玉県戸田市美女木東1-3-1　イオンモール北戸田　1F
10,ORBENE 西武所沢店　オルベネ,埼玉県所沢市日吉町12-1　西武　所沢店　4F
11,ORBENE UNIMOちはら台　オルベネ,千葉県市原市ちはら台西3-4　UNIMOちはら台　1F
12,ORBENE イオンモール八千代緑が丘　オルベネ,千葉県八千代市緑が丘2-1-3　イオンモール八千代緑が丘　2F
13,ORBENE イオンモール木更津　オルベネ,千葉県木更津市築地1-4　イオンモール木更津　1F
14,ORBENE セブンパークアリオ柏　オルベネ,千葉県柏市大島田1-6-1　セブンパーク　アリオ柏　2F
15,ORBENE 昭島モリタウン　オルベネ,東京都昭島市田中町562-1　昭島モリタウン　1F
16,ORBENE イオンモール東久留米　オルベネ,東京都東久留米市南沢5-17-62　イオンモール東久留米　1F
17,ORBENE イオンモール座間　オルベネ,神奈川県座間市広野台2-10-4　イオンモール座間　1F
18,ORBENE 西武東戸塚S.C オルベネ,神奈川県横浜市戸塚区品濃町537-1　西武　東戸塚店　3F
19,ORBENE イオンモール新小松　オルベネ,石川県小松市清六町315　イオンモール新小松　1F
20,ORBENE フェアモール福井　オルベネ,福井県福井市大和田2-1212　フェアモール福井(エルパ)　2F
21,ORBENE モレラ岐阜　オルベネ,岐阜県本巣市三橋1100　モレラ岐阜　1F
22,ORBENE イオンタウン富士南　オルベネ,静岡県富士市鮫島118-10　イオンタウン富士南　1F
23,ORBENE イオンモール新瑞橋　オルベネ,愛知県名古屋市南区菊住1-7-10　イオンモール新瑞橋　1F
24,ORBENE イオンモール扶桑　オルベネ,愛知県丹羽郡扶桑町大字南山名字高塚5-1　イオンモール扶桑　1F
25,ORBENE 名鉄百貨店一宮店　オルベネ,愛知県一宮市新生1-1-1　名鉄百貨店　一宮店　1F
26,ORBENE イオンモール木曽川　オルベネ,愛知県一宮市木曽川町黒田字南八ッヶ池25-1　イオンモール木曽川　2F
27,ORBENE アイ・モール三好　オルベネ,愛知県みよし市三好町青木88　アイ・モール三好　1F
28,ORBENE イオンモール桑名アンク　オルベネ,三重県桑名市新西方1-22　イオンモール桑名　アンク専門店街　2F
29,ORBENE イオンタウン四日市泊　オルベネ,三重県四日市市泊小柳町4-5　イオンタウン四日市泊　1F
30,ORBENE イオン久御山店　オルベネ,京都府久世郡久御山町森南大内156-1　イオンモール久御山店　1F
31,ORBENE 泉北パンジョ　オルベネ,大阪府堺市南区茶山台1-3-1　泉北パンジョ　2F
32,ORBENE イオンモール茨木　オルベネ,大阪府茨木市松ケ本町8-30-1　イオンモール茨木　2F
33,ORBENE 堺高島屋　オルベネ,大阪府堺市堺区三国ケ丘御幸通59　堺タカシマヤ　4F
34,ORBENE イオンモール鶴見緑地　オルベネ,大阪府大阪市鶴見区鶴見4-17-1　イオンモール鶴見緑地　1F
35,ORBENE 上本町ＹＵＦＵＲＡ　オルベネ,大阪府大阪市天王寺区上本町6-5-13　上本町YUFURA　1F
36,ORBENE イオンモール神戸南　オルベネ,兵庫県神戸市兵庫区中之島2-1-1　イオンモール神戸南　　1F
37,ORBENE ゆめタウン出雲　オルベネ,島根県出雲市大塚町650-1　ゆめタウン出雲　2F
38,ORBENE ゆめタウン広島　オルベネ,広島県広島市南区皆実町2-8-17　ゆめタウン広島　1F
39,ORBENE シーモール下関　オルベネ,山口県下関市竹崎町4-4-8　シーモール下関　1F
40,ORBENE イオンモール高松　オルベネ,香川県高松市香西本町1-1　イオンモール高松　1F
41,ORBENE イオンモール福岡伊都　オルベネ,福岡県福岡市西区北原1-2-1　イオンモール福岡伊都　1F
42,ORBENE イオンモール八幡東　オルベネ,福岡県北九州市八幡東区東田3-2-102　イオンモール八幡東　2F
43,ORBENE イオンモール大牟田　オルベネ,福岡県大牟田市岬町3-4　イオンモール大牟田　1F
44,ORBENE 木の葉モール橋本　オルベネ,福岡県福岡市西区橋本2-27-2　木の葉モール橋本　1F
45,ORBENE イオン大塔ショッピングセンター　オルベネ,長崎県佐世保市大塔町14-2　イオン大塔ショッピングセンター　1F
46,ORBENE ゆめタウン光の森　オルベネ,熊本県菊池郡菊陽町光の森7-33-1　ゆめタウン光の森　1F
47,ORBENE パークプレイス大分　オルベネ,大分県大分市公園通り西2-1　パークプレイス大分　1F
48,ORBENE 宮交シティ　オルベネ,宮崎県宮崎市大淀4-6-28　宮交シティ　1F
49,ORBENE イオンタウン姶良　オルベネ,鹿児島県姶良市東餠田336　　イオンタウン姶良　2F
50,ORBENE サンエー宜野湾コンベンションシティ　オルベネ,沖縄県宜野湾市字宇地泊558-10　サンエー宜野湾コンベンションシティ　2F
